,Year,Population
0,2021,1393409038.0
1,2022,1400113079.6606789
2,2023,1409814301.6655617
3,2024,1418681387.0815773
4,2025,1426667417.6352882
5,2026,1433724186.1987648
6,2027,1439802170.4048195
7,2028,1444850505.780796
8,2029,1448816958.4321632
9,2030,1451647897.2749367
10,2031,1453288265.7661476
